"1000e"
"100e"
"1ère"
"1ères"
"24 x 36"
"2CVs"
"4 nages"
"5 à 7"
"5-à-7"
"51e État"
"51ᵉ État"
"A. M."
"AAAAA"
"AC45"
"AC72"
"AC90"
"AFMs"
"AIIP"
"AOCs"
"ASBL"
"ASBLs"
"AZERTY"
"Abkhaze"
"Abkhazes"
"Aboméen"
"Aboméens"
"Acadien"
"Acadiens"
"Afghan"
"Afghane"
"Afghanes"
"Afghans"
"Africain"
"Aixois"
"Aixoise"
"Aixoises"
"Ajaccien"
"Ajacéen"
"Ajacéens"
"Akkadien"
"Alaskien"
"Albanais"
"Albanien"
"Algérien"
"Allemand"
"Alpicois"
"Alsacien"
"Alépin"
"Alépine"
"Alépins"
"Ambazoni"
"Amhara"
"Amharas"
"Amiénois"
"Andalou"
"Andalous"
"Andorran"
"Andretti"
"Angelin"
"Angeline"
"Angelins"
"Angevin"
"Angevine"
"Angevins"
"Anglais"
"Anglaise"
"Angliche"
"Anglois"
"Angloise"
"Angolais"
"Annamite"
"Annécien"
"Antarès"
"Antibois"
"Aostois"
"Aostoise"
"Apamène"
"Apamènes"
"Apaméen"
"Apaméens"
"Arabe"
"Arabes"
"Araméen"
"Araméens"
"Arcadien"
"Argentin"
"Arménien"
"Art déco"
"Artésien"
"Asperger"
"Asturien"
"Athénien"
"Aucunois"
"Avent"
"Axonais"
"Axonaise"
"Aymara"
"Aymaras"
"Aztèque"
"Aztèques"
"Azéri"
"Azérie"
"Azéries"
"Azéris"
"Açorien"
"Açoriens"
"Açoréen"
"Açoréens"
"Aéronien"
"Aïds"
"BATRAL"
"BFCs"
"BFILE"
"BFILEs"
"BIGs"
"BLOB"
"BLOBs"
"Bachkir"
"Bachkire"
"Bachkirs"
"Badois"
"Badoise"
"Badoises"
"Bahamien"
"Bahaméen"
"Bahreïni"
"Bakinois"
"Bakélite"
"Balinais"
"Baléare"
"Baléares"
"Bantou"
"Bantous"
"Bar."
"Basque"
"Basques"
"Batave"
"Bataves"
"Bavarois"
"Belge"
"Belges"
"Berbère"
"Berbères"
"Bercy"
"Berlugan"
"Besantin"
"Biarrot"
"Biarrote"
"Biarrots"
"Big Mac"
"Big Macs"
"Birman"
"Birmane"
"Birmanes"
"Birmans"
"Bisontin"
"Biturige"
"Black"
"Blacks"
"Blanc"
"Blanche"
"Blanches"
"Blancs"
"Boche"
"Boches"
"Bolivien"
"Bolonais"
"Bosnien"
"Bosniens"
"Brestois"
"Breton"
"Bretonne"
"Bretons"
"Brugeois"
"Bulgare"
"Bulgares"
"Burgonde"
"Bâlois"
"Bâloise"
"Bâloises"
"Béarnais"
"Bédouin"
"Bédouine"
"Bédouins"
"Bélier"
"Béliers"
"Bélizien"
"Béninois"
"Bérabich"
"Bérytien"
"C.Bon."
"C.Bssn."
"CCEs"
"CEDEX"
"CHSLD"
"CLOM"
"CLSC"
"CNTP"
"CPAs"
"CSSS"
"CSSSs"
"Cadien"
"Cadienne"
"Cadiens"
"Cadjin"
"Cadjinne"
"Cadjins"
"Caennais"
"Cairote"
"Cairotes"
"Canadien"
"Canarien"
"Cancer"
"Cancers"
"Cannois"
"Cannoise"
"Catalan"
"Catalane"
"Catalans"
"Catanais"
"Celte"
"Celtes"
"Cheyenne"
"Chiac"
"Chilien"
"Chiliens"
"Chinois"
"Chinoise"
"Chleuh"
"Chleuhe"
"Chleuhes"
"Chleuhs"
"Chrétien"
"Chti"
"Chtimi"
"Chtimis"
"Chtis"
"Ciotaden"
"Commune"
"Communes"
"Comorien"
"Comtois"
"Comtoise"
"Con.Bn."
"Cordouan"
"Corfiote"
"Corse"
"Corses"
"Coréen"
"Coréenne"
"Coréens"
"Cosaque"
"Cosaques"
"Creusois"
"Crie"
"Cries"
"Cris"
"Crnt."
"Croate"
"Croates"
"Créole"
"Créoles"
"Crétois"
"Crétoise"
"Cubain"
"Cubaine"
"Cubaines"
"Cubains"
"Cymb."
"Cypriote"
"Cène"
"Céfran"
"Céfrans"
"DALO"
"DEET"
"DEETs"
"DELF"
"DEUG"
"DEUGS"
"DEUGs"
"Dahoméen"
"Dakarois"
"Danois"
"Danoise"
"Danoises"
"Dieppois"
"EHPAD"
"Eceh"
"Ecossais"
"Egyptien"
"Ehpad"
"Elvinois"
"Eskimo"
"Eskimos"
"Espagnol"
"Esquimau"
"Estonien"
"Etat"
"Etats"
"Eurasien"
"Européen"
"Ewok"
"Ewoks"
"Exocet"
"Exocets"
"Export"
"FALs"
"FN FAL"
"FN FALs"
"FN-FAL"
"FN-FALs"
"Fentanyl"
"Fidjien"
"Fidjiens"
"Finnois"
"Finnoise"
"Flamand"
"Flamande"
"Flamands"
"Force"
"Forces"
"Formule"
"Franc"
"Francs"
"Franque"
"Franques"
"Français"
"Frison"
"Frisonne"
"Frisons"
"Fuégien"
"Fuégiens"
"Féroïen"
"Féroïens"
"GESs"
"GNLs"
"Gabonais"
"Galicien"
"Galiléen"
"Gallois"
"Galloise"
"Gambien"
"Gambiens"
"Gandois"
"Gandoise"
"Gascon"
"Gasconne"
"Gascons"
"Gasmule"
"Gasmules"
"Gatinois"
"Gatinois"
"Gaulois"
"Gauloise"
"Genevois"
"Germain"
"Germaine"
"Germains"
"Ghanéen"
"Ghanéens"
"Ghiolof"
"Ghiolofs"
"Gibelin"
"Gibelins"
"Girondin"
"Grec"
"Grecque"
"Grecques"
"Grecs"
"Grenelle"
"Gretzky"
"Gretzkys"
"Græc"
"Græcque"
"Græcques"
"Græcs"
"Guelfe"
"Guelfes"
"Guinéen"
"Guinéens"
"Guyanais"
"Guyon"
"Guyonne"
"Guyonnes"
"Guyons"
"Génois"
"Génoise"
"Génoises"
"Géorgien"
"HPGP"
"Haratin"
"Haratins"
"Harki"
"Harkis"
"Havrais"
"Havraise"
"Hawaiien"
"Hawaïen"
"Hawaïens"
"Haïtien"
"Haïtiens"
"Haïtis"
"Hellène"
"Hellènes"
"Helvète"
"Helvètes"
"Hermais"
"Hermaise"
"Hessois"
"Hessoise"
"Hittite"
"Hittites"
"Homsiote"
"Hongrois"
"Houthi"
"Houthis"
"Hpe."
"Hullois"
"Hullois"
"Hulloise"
"Hunnu"
"Hunnue"
"Hunnus"
"Huns"
"Huron"
"Huronne"
"Huronnes"
"Hurons"
"Hébreu"
"Hébreux"
"IQAs"
"Ibère"
"Ibères"
"Ibérien"
"Ibériens"
"Indien"
"Indienne"
"Indiens"
"Ingouche"
"Inuit"
"Inuite"
"Inuites"
"Inuits"
"Irakien"
"Irakiens"
"Iranien"
"Iraniens"
"Iraqien"
"Iraqiens"
"Iraquien"
"Issa"
"Issas"
"Italien"
"Italiens"
"Ivoirien"
"JLBs"
"Jacobien"
"Japonais"
"Javanais"
"Jawa"
"Jawas"
"Jedi"
"Jedis"
"Jersiais"
"Judas"
"Judéen"
"Judéenne"
"Judéens"
"Juif"
"Juifs"
"Juive"
"Juives"
"K-way"
"K-ways"
"KF94"
"KN95"
"Kabyle"
"Kabyles"
"Kalash"
"Kalashs"
"Kanak"
"Kanake"
"Kanaks"
"Kinois"
"Kinoise"
"Kinoises"
"Kleenex"
"Klingons"
"Kosovar"
"Kosovare"
"Kosovars"
"Kurde"
"Kurdes"
"Kébécois"
"LGNs"
"Laotien"
"Laotiens"
"Latin"
"Latine"
"Latines"
"Latins"
"Lego"
"Legos"
"Lensois"
"Lensoise"
"Letton"
"Lettone"
"Lettones"
"Lettonne"
"Lettons"
"Levantin"
"Libanais"
"Libyen"
"Libyenne"
"Libyens"
"Libérien"
"Ligure"
"Ligures"
"Lillois"
"Lilloise"
"Limousin"
"Liégeois"
"Lombard"
"Lombarde"
"Lombards"
"Lorrain"
"Lorraine"
"Lorrains"
"Ltee"
"Ltee."
"Ltée"
"Ltée."
"Ltées."
"Luron"
"Luronne"
"Luronnes"
"Lurons"
